item_id	run_index	run_label	tool_called	call_count	notes
cc-19:CC-19-13	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-13	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-14	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-14	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-14	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-15	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-15	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-15	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-16	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-16	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-16	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-17	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-17	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-17	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-18	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-18	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-18	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-19	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-19	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-19	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-20	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-20	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-20	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-21	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-21	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-21	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-22	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-19:CC-19-22	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-19:CC-19-22	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-1:CC-1-01	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-01	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-01	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-02	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-02	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-02	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-03	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-03	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-03	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-04	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-04	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-04	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-1:CC-1-05	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
